,name,url
155,"3-комн. квартира, 55,1 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/307693049/
156,"2-комн. квартира, 45,7 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/305890490/
157,"2-комн. квартира, 41,9 м², 2/5 этаж",https://kemerovo.cian.ru/sale/flat/297929027/
158,"1-комн. квартира, 32,2 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/302056966/
159,"2-комн. квартира, 44 м², 2/4 этаж",https://kemerovo.cian.ru/sale/flat/314051837/
160,"2-комн. квартира, 44 м², 2/5 этаж",https://kemerovo.cian.ru/sale/flat/308026697/
161,"2-комн. квартира, 44,4 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/308069949/
162,"2-комн. квартира, 49,9 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/312060199/
163,"3-комн. квартира, 64,5 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/311119821/
164,"4-комн. квартира, 60 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/300836622/
165,"3-комн. квартира, 57 м², 2/4 этаж",https://kemerovo.cian.ru/sale/flat/313662838/
166,"1-комн. квартира, 30 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/311111794/
167,"2-комн. квартира, 45 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/311362056/
168,"4-комн. квартира, 63 м², 2/5 этаж",https://kemerovo.cian.ru/sale/flat/310435856/
169,"2-комн. квартира, 46,9 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/306189087/
170,"2-комн. квартира, 47,7 м², 8/9 этаж",https://kemerovo.cian.ru/sale/flat/312526928/
171,"2-комн. квартира, 43,5 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/291934391/
172,"2-комн. квартира, 50 м², 2/3 этаж",https://kemerovo.cian.ru/sale/flat/313451037/
173,"3-комн. квартира, 60,5 м², 2/5 этаж",https://kemerovo.cian.ru/sale/flat/305058842/
174,"2-комн. квартира, 45 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/313662850/
175,"2-комн. квартира, 49,9 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/312060199/
176,"2-комн. квартира, 50 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/310396384/
177,"2-комн. квартира, 46,7 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/313974569/
178,"3-комн. квартира, 56 м², 2/3 этаж",https://kemerovo.cian.ru/sale/flat/310950319/
179,"Своб. планировка, 60,6 м², 1/1 этаж",https://kemerovo.cian.ru/sale/flat/314510437/
180,"3-комн. квартира, 58 м², 2/5 этаж",https://kemerovo.cian.ru/sale/flat/311259471/
181,"2-комн. квартира, 51,6 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/310796312/
182,"2-комн. квартира, 49 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/310396623/
183,"4-комн. квартира, 60 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/310950318/
184,"2-комн. квартира, 50 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/312435524/
185,"2-комн. квартира, 43 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/300042163/
186,"2-комн. квартира, 51 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/314120246/
187,"2-комн. квартира, 53 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/303553465/
188,"1-комн. квартира, 32,5 м², 4/4 этаж",https://kemerovo.cian.ru/sale/flat/310681814/
189,"3-комн. квартира, 60,3 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/307278751/
190,"2-комн. квартира, 43,2 м², 2/5 этаж",https://kemerovo.cian.ru/sale/flat/308314949/
191,"2-комн. квартира, 52 м², 9/9 этаж",https://kemerovo.cian.ru/sale/flat/306486552/
192,"3-комн. квартира, 58,7 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/312592706/
193,"2-комн. квартира, 52,4 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/314610780/
194,"3-комн. квартира, 60,3 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/304605954/
195,"3-комн. квартира, 76,6 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/292734118/
196,"4-комн. квартира, 61,9 м², 2/5 этаж",https://kemerovo.cian.ru/sale/flat/314051846/
197,"2-комн. квартира, 44 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/313212000/
198,"2-комн. квартира, 41 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/311727086/
199,"4-комн. квартира, 63 м², 2/5 этаж",https://kemerovo.cian.ru/sale/flat/310435856/
200,"3-комн. квартира, 51 м², 2/5 этаж",https://kemerovo.cian.ru/sale/flat/314485684/
201,"2-комн. квартира, 52,6 м², 3/9 этаж",https://kemerovo.cian.ru/sale/flat/312495030/
202,"2-комн. квартира, 51,7 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/311167610/
203,"3-комн. квартира, 63,4 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/292474195/
204,"3-комн. квартира, 60 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/309327381/
205,"2-комн. квартира, 51,6 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/310796312/
206,"2-комн. квартира, 42 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/313715070/
207,"3-комн. квартира, 61 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/312495032/
208,"2-комн. квартира, 52,7 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/312907557/
209,"Студия, 25,2 м², 2/3 этаж",https://kemerovo.cian.ru/sale/flat/312927616/
210,"4-комн. квартира, 60 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/314030840/
211,"3-комн. квартира, 58,1 м², 2/5 этаж",https://kemerovo.cian.ru/sale/flat/314021624/
212,"1-комн. квартира, 27 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/314578477/
213,"2-комн. квартира, 59,7 м², 7/11 этаж",https://kemerovo.cian.ru/sale/flat/313237520/
214,"3-комн. квартира, 52,1 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/298590877/
215,"3-комн. квартира, 57 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/307565007/
216,"3-комн. квартира, 65,1 м², 5/9 этаж",https://kemerovo.cian.ru/sale/flat/314610778/
217,"1-комн. квартира, 34,6 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/305403848/
218,"Студия, 28 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/308427702/
219,"2-комн. квартира, 45 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/288637847/
220,"2-комн. квартира, 59 м², 1/2 этаж",https://kemerovo.cian.ru/sale/flat/306183972/
221,"1-комн. квартира, 29,8 м², 1/4 этаж",https://kemerovo.cian.ru/sale/flat/312503024/
222,"3-комн. квартира, 60,2 м², 1/2 этаж",https://kemerovo.cian.ru/sale/flat/304541977/
223,"3-комн. квартира, 61 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/300164198/
224,"2-комн. квартира, 47 м², 3/4 этаж",https://kemerovo.cian.ru/sale/flat/302882924/
225,"1-комн. квартира, 47 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/314128870/
226,"4-комн. квартира, 60,8 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/313605401/
227,"3-комн. квартира, 81,2 м², 3/3 этаж",https://kemerovo.cian.ru/sale/flat/301653345/
228,"1-комн. квартира, 28,1 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/305080273/
229,"1-комн. квартира, 41,3 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/299869902/
230,"1-комн. квартира, 34 м², 2/5 этаж",https://kemerovo.cian.ru/sale/flat/294012119/
231,"3-комн. квартира, 47,1 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/310708435/
232,"2-комн. квартира, 46,7 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/313974569/
233,"2-комн. квартира, 45,7 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/303990788/
234,"3-комн. квартира, 61,4 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/314335518/
235,"2-комн. квартира, 43 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/305033935/
236,"3-комн. квартира, 84 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/312044487/
237,"2-комн. квартира, 52 м², 3/10 этаж",https://kemerovo.cian.ru/sale/flat/310176341/
238,"2-комн. квартира, 54,8 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/306091241/
239,"3-комн. квартира, 57,2 м², 3/3 этаж",https://kemerovo.cian.ru/sale/flat/306281603/
240,"3-комн. квартира, 56,2 м², 2/5 этаж",https://kemerovo.cian.ru/sale/flat/304409847/
241,"2-комн. квартира, 52 м², 4/9 этаж",https://kemerovo.cian.ru/sale/flat/314120245/
242,"1-комн. квартира, 34 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/311915826/
243,"1-комн. квартира, 37 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/305481457/
244,"4-комн. квартира, 76,3 м², 2/9 этаж",https://kemerovo.cian.ru/sale/flat/308917340/
245,"3-комн. квартира, 57,5 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/310230532/
246,"1-комн. квартира, 29,5 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/302709209/
247,"4-комн. квартира, 86,8 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/307703104/
248,"2-комн. квартира, 52,5 м², 6/9 этаж",https://kemerovo.cian.ru/sale/flat/312878696/
249,"2-комн. квартира, 43,5 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/291934391/
